aX,aY,aZ,gX,gY,gZ
0.764,0.742,-0.211,58.655,10.254,-40.344
0.786,0.650,-0.198,52.063,17.456,-39.978
0.859,0.593,-0.150,47.424,23.682,-44.067
0.886,0.644,-0.199,34.485,11.841,-49.194
0.877,0.724,-0.194,23.560,-3.784,-49.805
0.907,0.620,-0.145,25.635,-13.672,-41.260
0.922,0.358,-0.124,32.959,-17.822,-28.564
0.909,0.095,-0.122,31.860,-19.165,-27.161
0.885,-0.092,-0.150,26.428,-14.893,-38.086
0.846,-0.205,-0.177,21.057,-4.028,-55.603
0.786,-0.228,-0.164,13.611,11.597,-72.998
0.741,-0.234,-0.148,3.906,27.649,-87.402
0.709,-0.214,-0.147,-3.479,41.565,-98.206
0.675,-0.199,-0.128,-7.080,52.429,-103.943
0.778,-0.333,-0.070,-9.155,59.570,-102.905
0.940,-0.520,-0.012,-12.695,61.157,-93.201
1.026,-0.689,0.038,-16.907,54.382,-78.125
1.041,-0.825,0.113,-20.020,43.884,-60.303
1.026,-0.928,0.157,-22.766,33.569,-47.974
0.965,-0.954,0.180,-23.132,28.931,-44.495
0.849,-0.956,0.194,-22.888,30.029,-43.518
0.803,-0.966,0.193,-24.475,34.241,-40.405
0.794,-0.953,0.154,-31.250,35.950,-36.072
0.782,-0.886,0.097,-37.903,36.072,-32.471
0.791,-0.802,0.053,-40.894,37.537,-28.198
0.840,-0.764,0.015,-40.100,40.710,-19.958
0.920,-0.714,0.016,-33.325,42.480,-12.390
1.032,-0.673,0.060,-21.729,38.452,-7.324
1.122,-0.622,0.060,-6.653,26.001,-4.761
1.178,-0.598,0.065,9.094,6.470,-4.089
1.185,-0.570,0.000,24.841,-14.954,-7.812
1.114,-0.536,-0.085,39.124,-31.067,-14.038
1.000,-0.513,-0.179,49.500,-37.903,-19.531
0.926,-0.489,-0.250,50.354,-37.109,-21.973
0.885,-0.444,-0.261,41.443,-31.189,-20.142
0.849,-0.414,-0.263,29.114,-21.301,-15.625
0.861,-0.389,-0.263,17.578,-9.277,-11.658
0.943,-0.354,-0.179,6.226,2.258,-8.240
1.043,-0.289,-0.115,-1.953,3.357,-4.700
